State,Number (in thousands),Percent
Alabama,103.6,11.8
Alaska,8.4,8.8
Arizona,151.5,11
Arkansas,60.4,11.3
California,719.7,12
Colorado,90.8,10.4
Connecticut,76.8,11.9
Delaware,22.3,11.3
District of Columbia,15.1,16.8
Florida,579.9,12.5
Georgia,188.3,12
Hawaii,31.2,11.3
Idaho,29.9,9.8
Illinois,250.6,12
Indiana,121.3,10.9
Iowa,62.1,11
Kansas,54.5,11.2
Kentucky,80.5,10.4
Louisiana,94.7,12.4
Maine,29.6,10.1
Maryland,127.2,12.9
Massachusetts,135.2,11.3
Michigan,202.8,11.2
Minnesota,101.9,10.7
Mississippi,62.5,12.5
Missouri,122.3,11.2
Montana,21,9.8
Nebraska,35.1,11
Nevada,54.9,10.6
New Hampshire,26.5,10.1
New Jersey,185.3,12.3
New Mexico,46,11.8
New York,426.5,12.7
North Carolina,210.5,11.6
North Dakota,13.7,11.1
Ohio,236.2,11.3
Oklahoma,70.5,10.8
Oregon,79.1,10
Pennsylvania,282.1,11.5
Rhode Island,22,11.4
South Carolina,112.5,11.5
South Dakota,16.5,10.5
Tennessee,129.2,10.9
Texas,459.3,11.9
Utah,38.3,10
Vermont,12.8,9.9
Virginia,164,11.7
Washington,126.7,10.2
West Virginia,38.1,10.2
Wisconsin,110.9,10.6
Wyoming,10.3,9.9